RoundRobinTournament
AIs
	WorkerRush(AStarPathFinding)
	LightRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	RangedRush(AStarPathFinding)
maps
	D:\Project\JavaWorkspace\microrts\maps\24x24\basesWorkers24x24.xml
	D:\Project\JavaWorkspace\microrts\maps\24x24\basesWorkers24x24A.xml
	D:\Project\JavaWorkspace\microrts\maps\24x24\basesWorkers24x24B.xml
	D:\Project\JavaWorkspace\microrts\maps\24x24\basesWorkers24x24C.xml
iterations	10
maxGameLength	5000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	1127	1	-1	-1
0	0	0	2	885	0	-1	-1
0	0	0	3	1565	1	-1	-1
0	0	1	0	1095	0	-1	-1
0	0	1	2	1379	0	-1	-1
0	0	1	3	944	0	-1	-1
0	0	2	0	2167	0	-1	-1
0	0	2	1	2078	0	-1	-1
0	0	2	3	1860	0	-1	-1
0	0	3	0	2020	0	-1	-1
0	0	3	1	830	1	-1	-1
0	0	3	2	1865	1	-1	-1
0	1	0	1	1127	1	-1	-1
0	1	0	2	885	0	-1	-1
0	1	0	3	1565	1	-1	-1
0	1	1	0	1095	0	-1	-1
0	1	1	2	1379	0	-1	-1
0	1	1	3	944	0	-1	-1
0	1	2	0	2167	0	-1	-1
0	1	2	1	660	0	-1	1
0	1	2	3	1860	0	-1	-1
0	1	3	0	2020	0	-1	-1
0	1	3	1	830	1	-1	-1
0	1	3	2	1865	1	-1	-1
0	2	0	1	1183	1	-1	-1
0	2	0	2	795	0	-1	-1
0	2	0	3	1555	1	-1	-1
0	2	1	0	900	0	-1	-1
0	2	1	2	1579	0	-1	-1
0	2	1	3	1039	0	-1	-1
0	2	2	0	625	1	-1	-1
0	2	2	1	2259	1	-1	-1
0	2	2	3	2647	0	-1	-1
0	2	3	0	2315	0	-1	-1
0	2	3	1	847	1	-1	-1
0	2	3	2	2235	1	-1	-1
0	3	0	1	969	1	-1	-1
0	3	0	2	605	0	-1	-1
0	3	0	3	1265	1	-1	-1
0	3	1	0	857	0	-1	-1
0	3	1	2	1097	0	-1	-1
0	3	1	3	947	0	-1	-1
0	3	2	0	680	1	-1	-1
0	3	2	1	1636	1	-1	-1
0	3	2	3	3730	1	-1	-1
0	3	3	0	1855	0	-1	-1
0	3	3	1	878	1	-1	-1
0	3	3	2	2057	1	-1	-1
1	0	0	1	1127	1	-1	-1
1	0	0	2	885	0	-1	-1
1	0	0	3	1565	1	-1	-1
1	0	1	0	1095	0	-1	-1
1	0	1	2	1379	0	-1	-1
1	0	1	3	944	0	-1	-1
1	0	2	0	2167	0	-1	-1
1	0	2	1	2078	0	-1	-1
1	0	2	3	1860	0	-1	-1
1	0	3	0	2020	0	-1	-1
1	0	3	1	830	1	-1	-1
1	0	3	2	1865	1	-1	-1
1	1	0	1	1127	1	-1	-1
1	1	0	2	885	0	-1	-1
1	1	0	3	1565	1	-1	-1
1	1	1	0	1095	0	-1	-1
1	1	1	2	1379	0	-1	-1
1	1	1	3	944	0	-1	-1
1	1	2	0	2167	0	-1	-1
1	1	2	1	2078	0	-1	-1
1	1	2	3	1860	0	-1	-1
1	1	3	0	2020	0	-1	-1
1	1	3	1	830	1	-1	-1
1	1	3	2	1865	1	-1	-1
1	2	0	1	1183	1	-1	-1
1	2	0	2	795	0	-1	-1
1	2	0	3	1555	1	-1	-1
1	2	1	0	900	0	-1	-1
1	2	1	2	1579	0	-1	-1
1	2	1	3	1039	0	-1	-1
1	2	2	0	625	1	-1	-1
1	2	2	1	2259	1	-1	-1
1	2	2	3	2647	0	-1	-1
1	2	3	0	2315	0	-1	-1
1	2	3	1	847	1	-1	-1
1	2	3	2	2235	1	-1	-1
1	3	0	1	969	1	-1	-1
1	3	0	2	605	0	-1	-1
1	3	0	3	1265	1	-1	-1
1	3	1	0	857	0	-1	-1
1	3	1	2	1097	0	-1	-1
1	3	1	3	947	0	-1	-1
1	3	2	0	680	1	-1	-1
1	3	2	1	1636	1	-1	-1
1	3	2	3	3730	1	-1	-1
1	3	3	0	1855	0	-1	-1
1	3	3	1	878	1	-1	-1
1	3	3	2	2057	1	-1	-1
2	0	0	1	1127	1	-1	-1
2	0	0	2	885	0	-1	-1
2	0	0	3	1565	1	-1	-1
