RoundRobinTournament
AIs
	LightRush(AStarPathFinding)
	WorkerRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	RangedRush(AStarPathFinding)
	WorkerDefense(AStarPathFinding)
	LightDefense(AStarPathFinding)
	HeavyDefense(AStarPathFinding)
	RangedDefense(AStarPathFinding)
maps
	D:\Project\JavaWorkspace\microrts\maps\8x8\basesWorkers8x8B.xml
	D:\Project\JavaWorkspace\microrts\maps\10x10\basesWorkers10x10.xml
	D:\Project\JavaWorkspace\microrts\maps\12x12\basesWorkers12x12B.xml
	D:\Project\JavaWorkspace\microrts\maps\16x16\basesWorkers16x16C.xml
	D:\Project\JavaWorkspace\microrts\maps\24x24\basesWorkers24x24C.xml
iterations	10
maxGameLength	9999
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	195	1	-1	-1
0	0	0	2	551	0	-1	-1
0	0	0	3	541	0	-1	-1
0	0	0	4	9999	-1	-1	-1
0	0	0	5	630	0	-1	-1
0	0	0	6	551	0	-1	-1
0	0	0	7	541	0	-1	-1
0	0	1	0	205	0	-1	-1
0	0	1	2	205	0	-1	-1
0	0	1	3	205	0	-1	-1
0	0	1	4	9999	-1	-1	-1
0	0	1	5	205	0	-1	-1
0	0	1	6	205	0	-1	-1
0	0	1	7	205	0	-1	-1
0	0	2	0	765	1	-1	-1
0	0	2	1	195	1	-1	-1
0	0	2	3	640	1	-1	-1
0	0	2	4	9999	-1	-1	-1
0	0	2	5	1435	1	-1	-1
0	0	2	6	9999	-1	-1	-1
0	0	2	7	9999	-1	-1	-1
0	0	3	0	604	1	-1	-1
0	0	3	1	195	1	-1	-1
0	0	3	2	9999	-1	-1	-1
0	0	3	4	890	0	-1	-1
0	0	3	5	745	1	-1	-1
0	0	3	6	745	0	-1	-1
0	0	3	7	860	0	-1	-1
0	0	4	0	575	0	-1	-1
0	0	4	1	9999	-1	-1	-1
0	0	4	2	705	0	-1	-1
0	0	4	3	850	1	-1	-1
0	0	4	5	575	0	-1	-1
0	0	4	6	705	0	-1	-1
0	0	4	7	9999	-1	-1	-1
0	0	5	0	616	0	-1	-1
0	0	5	1	195	1	-1	-1
0	0	5	2	1296	0	-1	-1
0	0	5	3	660	1	-1	-1
0	0	5	4	876	0	-1	-1
0	0	5	6	9999	-1	-1	-1
0	0	5	7	9999	-1	-1	-1
0	0	6	0	765	1	-1	-1
0	0	6	1	195	1	-1	-1
0	0	6	2	1358	1	-1	-1
0	0	6	3	635	1	-1	-1
0	0	6	4	9999	-1	-1	-1
0	0	6	5	752	1	-1	-1
0	0	6	7	9999	-1	-1	-1
0	0	7	0	729	1	-1	-1
0	0	7	1	195	1	-1	-1
0	0	7	2	9999	-1	-1	-1
0	0	7	3	640	1	-1	-1
0	0	7	4	9999	-1	-1	-1
0	0	7	5	9999	-1	-1	-1
0	0	7	6	9999	-1	-1	-1
0	1	0	1	255	1	-1	-1
0	1	0	2	667	0	-1	-1
0	1	0	3	529	0	-1	-1
0	1	0	4	999	0	-1	-1
0	1	0	5	9999	-1	-1	-1
0	1	0	6	667	0	-1	-1
0	1	0	7	529	0	-1	-1
0	1	1	0	255	0	-1	-1
0	1	1	2	255	0	-1	-1
0	1	1	3	255	0	-1	-1
0	1	1	4	9999	-1	-1	-1
0	1	1	5	255	0	-1	-1
0	1	1	6	255	0	-1	-1
0	1	1	7	255	0	-1	-1
0	1	2	0	823	1	-1	-1
0	1	2	1	255	1	-1	-1
0	1	2	3	740	1	-1	-1
0	1	2	4	710	1	-1	-1
0	1	2	5	745	1	-1	-1
0	1	2	6	725	0	-1	-1
0	1	2	7	885	0	-1	-1
0	1	3	0	603	1	-1	-1
0	1	3	1	255	1	-1	-1
0	1	3	2	741	1	-1	-1
0	1	3	4	995	0	-1	-1
0	1	3	5	633	1	-1	-1
0	1	3	6	9999	-1	-1	-1
0	1	3	7	9999	-1	-1	-1
0	1	4	0	530	0	-1	-1
0	1	4	1	9999	-1	-1	-1
0	1	4	2	605	0	-1	-1
0	1	4	3	555	0	-1	-1
0	1	4	5	530	0	-1	-1
0	1	4	6	605	0	-1	-1
0	1	4	7	555	0	-1	-1
0	1	5	0	9999	-1	-1	-1
0	1	5	1	255	1	-1	-1
