RoundRobinTournament
AIs
	LightRush(AStarPathFinding)
	WorkerRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	RangedRush(AStarPathFinding)
	WorkerDefense(AStarPathFinding)
	LightDefense(AStarPathFinding)
	HeavyDefense(AStarPathFinding)
	RangedDefense(AStarPathFinding)
maps
	D:\Project\JavaWorkspace\microrts\maps\8x8\basesWorkers8x8B.xml
iterations	1
maxGameLength	9999
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	195	1	-1	-1
0	0	0	2	551	0	-1	-1
0	0	0	3	541	0	-1	-1
0	0	0	4	9999	-1	-1	-1
0	0	0	5	630	0	-1	-1
0	0	0	6	551	0	-1	-1
0	0	0	7	541	0	-1	-1
0	0	1	0	205	0	-1	-1
0	0	1	2	205	0	-1	-1
0	0	1	3	205	0	-1	-1
0	0	1	4	9999	-1	-1	-1
0	0	1	5	205	0	-1	-1
0	0	1	6	205	0	-1	-1
0	0	1	7	205	0	-1	-1
0	0	2	0	765	1	-1	-1
0	0	2	1	195	1	-1	-1
0	0	2	3	640	1	-1	-1
0	0	2	4	9999	-1	-1	-1
0	0	2	5	1435	1	-1	-1
0	0	2	6	9999	-1	-1	-1
0	0	2	7	9999	-1	-1	-1
0	0	3	0	604	1	-1	-1
0	0	3	1	195	1	-1	-1
0	0	3	2	9999	-1	-1	-1
0	0	3	4	890	0	-1	-1
0	0	3	5	745	1	-1	-1
0	0	3	6	745	0	-1	-1
0	0	3	7	860	0	-1	-1
0	0	4	0	575	0	-1	-1
0	0	4	1	9999	-1	-1	-1
0	0	4	2	705	0	-1	-1
0	0	4	3	850	1	-1	-1
0	0	4	5	575	0	-1	-1
0	0	4	6	705	0	-1	-1
0	0	4	7	9999	-1	-1	-1
0	0	5	0	616	0	-1	-1
0	0	5	1	195	1	-1	-1
0	0	5	2	1296	0	-1	-1
0	0	5	3	660	1	-1	-1
0	0	5	4	876	0	-1	-1
0	0	5	6	9999	-1	-1	-1
0	0	5	7	9999	-1	-1	-1
0	0	6	0	765	1	-1	-1
0	0	6	1	195	1	-1	-1
0	0	6	2	1358	1	-1	-1
0	0	6	3	635	1	-1	-1
0	0	6	4	9999	-1	-1	-1
0	0	6	5	752	1	-1	-1
0	0	6	7	9999	-1	-1	-1
0	0	7	0	729	1	-1	-1
0	0	7	1	195	1	-1	-1
0	0	7	2	9999	-1	-1	-1
0	0	7	3	640	1	-1	-1
0	0	7	4	9999	-1	-1	-1
0	0	7	5	9999	-1	-1	-1
0	0	7	6	9999	-1	-1	-1
Wins:
0	0	2	2	0	1	2	2	
2	0	2	2	0	2	2	2	
0	0	0	0	0	0	1	0	
0	0	1	0	2	1	2	2	
1	0	1	0	0	1	1	0	
1	0	2	1	1	0	1	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
Ties:
0	0	0	0	1	0	0	0	
0	0	0	0	2	0	0	0	
0	0	0	1	1	0	1	2	
0	0	1	0	0	0	0	0	
1	2	1	0	0	0	1	2	
0	0	0	0	0	0	1	2	
0	0	1	0	1	1	0	2	
0	0	2	0	2	2	2	0	
Average Game Length:
0.0	195.0	551.0	541.0	9999.0	630.0	551.0	541.0	
205.0	0.0	205.0	205.0	9999.0	205.0	205.0	205.0	
765.0	195.0	0.0	640.0	9999.0	1435.0	9999.0	9999.0	
604.0	195.0	9999.0	0.0	890.0	745.0	745.0	860.0	
575.0	9999.0	705.0	850.0	0.0	575.0	705.0	9999.0	
616.0	195.0	1296.0	660.0	876.0	0.0	9999.0	9999.0	
765.0	195.0	1358.0	635.0	9999.0	752.0	0.0	9999.0	
729.0	195.0	9999.0	640.0	9999.0	9999.0	9999.0	0.0	
AI crashes:
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
AI timeout:
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
